timestamp,mode,win_rate,profit_factor,trades,change_details
2025-11-24 20:02:13,M6_SIGNAL_SANDBOX,0.00,0.00,3,"門檻 0.4 -> 0.5"
2025-11-24 20:02:13,M6_SIGNAL_SANDBOX,0.00,0.00,3,"槓桿 8x -> 6x"
2025-11-24 20:32:13,M6_SIGNAL_SANDBOX,0.00,0.00,3,"門檻 0.4 -> 0.5"
2025-11-24 20:32:13,M6_SIGNAL_SANDBOX,0.00,0.00,3,"槓桿 8x -> 6x"
2025-11-25 00:51:24,M6_SIGNAL_SANDBOX,0.33,0.26,3,"門檻 0.4 -> 0.5"
2025-11-25 00:51:24,M6_SIGNAL_SANDBOX,0.33,0.26,3,"槓桿 65x -> 52x"
2025-11-25 00:51:24,M_WHALE_WATCHER,0.25,0.02,4,"門檻 0.0 -> 0.1"
2025-11-25 00:51:24,M_WHALE_WATCHER,0.25,0.02,4,"槓桿 30x -> 24x"
2025-11-25 01:21:24,M6_SIGNAL_SANDBOX,0.17,0.13,6,"門檻 0.4 -> 0.5"
2025-11-25 01:21:24,M6_SIGNAL_SANDBOX,0.17,0.13,6,"槓桿 65x -> 52x"
2025-11-25 01:21:24,M_WHALE_WATCHER,0.25,0.02,4,"門檻 0.0 -> 0.1"
2025-11-25 01:21:24,M_WHALE_WATCHER,0.25,0.02,4,"槓桿 30x -> 24x"
2025-11-25 03:29:14,M6_SIGNAL_SANDBOX,0.20,0.02,5,"門檻 0.4 -> 0.5"
2025-11-25 03:29:14,M6_SIGNAL_SANDBOX,0.20,0.02,5,"槓桿 65x -> 52x"
2025-11-25 03:59:15,M6_SIGNAL_SANDBOX,0.17,0.01,6,"門檻 0.4 -> 0.5"
2025-11-25 03:59:15,M6_SIGNAL_SANDBOX,0.17,0.01,6,"槓桿 65x -> 52x"
2025-11-25 04:29:15,M6_SIGNAL_SANDBOX,0.17,0.01,6,"門檻 0.4 -> 0.5"
2025-11-25 04:29:15,M6_SIGNAL_SANDBOX,0.17,0.01,6,"槓桿 65x -> 52x"
2025-11-25 04:59:15,M6_SIGNAL_SANDBOX,0.14,0.01,7,"門檻 0.4 -> 0.5"
2025-11-25 04:59:15,M6_SIGNAL_SANDBOX,0.14,0.01,7,"槓桿 65x -> 52x"
2025-11-25 05:29:16,M6_SIGNAL_SANDBOX,0.14,0.01,7,"門檻 0.4 -> 0.5"
