timestamp,event_type,current_dir,potential_dir,net_qty,total_qty,dominance,obi,price,prediction_prob,is_high_impact,ma_20,rsi_14,stoch_k,stoch_d,boll_upper,boll_lower,price_change_since_last_flip
2025-11-26T21:04:05.786272,PREDICTION,,SHORT,-9.7330,9.7330,1.0000,-0.8790,86599.45,0.75,True,86599.88,0.00,50.00,50.00,86600.42,86599.34,0.0000
2025-11-26T21:04:24.679102,MONITOR,SHORT,SHORT,-8.5760,10.8900,0.7875,0.9844,86580.85,0.00,False,86580.85,50.00,50.00,50.00,86580.85,86580.85,-0.0215
2025-11-26T21:04:29.548709,DECAY,SHORT,SHORT,-6.4120,13.0540,0.4912,0.7186,86596.95,0.00,False,86590.40,100.00,50.00,50.00,86594.58,86586.23,-0.0029
2025-11-26T21:04:29.830218,DECAY,SHORT,SHORT,-5.0790,14.3870,0.3530,0.7256,86609.85,0.00,False,86609.61,100.00,50.00,50.00,86610.18,86609.04,0.0120
2025-11-26T21:04:29.833627,DECAY,SHORT,SHORT,-3.6050,15.8610,0.2273,0.7256,86613.80,0.00,False,86613.46,100.00,0.00,0.00,86613.90,86613.03,0.0166
2025-11-26T21:04:32.312151,DECAY,SHORT,SHORT,-5.4150,17.6710,0.3064,-0.4501,86606.95,0.00,False,86606.95,50.00,50.00,50.00,86606.95,86606.95,0.0087
2025-11-26T21:04:39.703179,DECAY,SHORT,LONG,3.2480,9.0080,0.3606,-0.9686,86576.15,0.00,False,86576.15,0.00,0.00,0.00,86576.15,86576.15,-0.0269
2025-11-26T21:04:41.776691,DECAY,SHORT,LONG,1.7650,10.4910,0.1682,-0.8390,86562.85,0.00,False,86563.96,0.00,50.00,50.00,86565.61,86562.30,-0.0423
2025-11-26T21:04:45.587705,DECAY,SHORT,LONG,3.2660,11.9920,0.2723,-0.6370,86554.55,0.00,False,86554.55,50.00,50.00,50.00,86554.55,86554.55,-0.0518
2025-11-26T21:04:49.225073,DECAY,SHORT,LONG,2.2230,13.0350,0.1705,0.7256,86560.05,0.00,False,86560.05,50.00,50.00,50.00,86560.05,86560.05,-0.0455
2025-11-26T21:04:55.139085,DECAY,SHORT,LONG,3.3660,14.1780,0.2374,0.4690,86569.45,0.00,False,86563.75,87.87,50.00,50.00,86570.89,86556.61,-0.0346
2025-11-26T21:04:55.171025,DECAY,SHORT,LONG,4.5580,15.3700,0.2966,0.4690,86578.25,0.00,False,86576.91,100.00,0.00,0.00,86578.50,86575.32,-0.0245
